Year,ffill
2011-01-31,257
2011-02-28,257
2011-03-31,257
2011-04-30,257
2011-05-31,257
2011-06-30,257
2011-07-31,257
2011-08-31,257
2011-09-30,257
2011-10-31,257
2011-11-30,257
2011-12-31,257
2012-01-31,274
2012-02-29,274
2012-03-31,274
2012-04-30,274
2012-05-31,274
2012-06-30,274
2012-07-31,274
2012-08-31,274
2012-09-30,274
2012-10-31,274
2012-11-30,274
2012-12-31,274
2013-01-31,283
2013-02-28,283
2013-03-31,283
2013-04-30,283
2013-05-31,283
2013-06-30,283
2013-07-31,283
2013-08-31,283
2013-09-30,283
2013-10-31,283
2013-11-30,283
2013-12-31,283
2014-01-31,294
2014-02-28,294
2014-03-31,294
2014-04-30,294
2014-05-31,294
2014-06-30,294
2014-07-31,294
2014-08-31,294
2014-09-30,294
2014-10-31,294
2014-11-30,294
2014-12-31,294
2015-01-31,305
2015-02-28,305
2015-03-31,305
2015-04-30,305
2015-05-31,305
2015-06-30,305
2015-07-31,305
2015-08-31,305
2015-09-30,305
2015-10-31,305
2015-11-30,305
2015-12-31,305
2016-01-31,332
2016-02-29,332
2016-03-31,332
2016-04-30,332
2016-05-31,332
2016-06-30,332
2016-07-31,332
2016-08-31,332
2016-09-30,332
2016-10-31,332
2016-11-30,332
2016-12-31,332
2017-01-31,384
2017-02-28,384
2017-03-31,384
2017-04-30,384
2017-05-31,384
2017-06-30,384
2017-07-31,384
2017-08-31,384
2017-09-30,384
2017-10-31,384
2017-11-30,384
2017-12-31,384
2018-01-31,433
2018-02-28,433
2018-03-31,433
2018-04-30,433
2018-05-31,433
2018-06-30,433
2018-07-31,433
2018-08-31,433
2018-09-30,433
2018-10-31,433
2018-11-30,433
2018-12-31,433
2019-01-31,471
2019-02-28,471
2019-03-31,471
2019-04-30,471
2019-05-31,471
2019-06-30,471
2019-07-31,471
2019-08-31,471
2019-09-30,471
2019-10-31,471
2019-11-30,471
2019-12-31,471
2020-01-31,478
2020-02-29,478
2020-03-31,478
2020-04-30,478
2020-05-31,478
2020-06-30,478
2020-07-31,478
2020-08-31,478
2020-09-30,478
2020-10-31,478
2020-11-30,478
2020-12-31,478
2021-01-31,462
2021-02-28,462
2021-03-31,462
2021-04-30,462
2021-05-31,462
2021-06-30,462
2021-07-31,462
2021-08-31,462
2021-09-30,462
2021-10-31,462
2021-11-30,462
2021-12-31,462
2022-01-31,641
2022-02-28,641
2022-03-31,641
2022-04-30,641
2022-05-31,641
2022-06-30,641
2022-07-31,641
2022-08-31,641
2022-09-30,641
2022-10-31,641
2022-11-30,641
2022-12-31,641
2023-01-31,700
2023-02-28,700
2023-03-31,700
2023-04-30,700
2023-05-31,700
2023-06-30,700
2023-07-31,700
2023-08-31,700
2023-09-30,700
2023-10-31,700
2023-11-30,700
2023-12-31,700
